City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mar del Plata,-38.0023,-57.5575,63.0,72,0,3.44,AR,05-14-2021
Cabo San Lucas,22.8909,-109.9124,86.0,33,40,3.44,MX,05-14-2021
Quevedo,-1.0333,-79.45,78.21,80,98,3.51,EC,05-14-2021
Vila Velha,-20.3297,-40.2925,77.0,61,20,13.8,BR,05-14-2021
Upernavik,72.7868,-56.1549,34.16,84,100,4.5,GL,05-14-2021
Kamina,-8.7386,24.9906,76.68,55,19,5.21,CD,05-14-2021
Rāwah,34.4816,41.9093,101.07,8,3,12.55,IQ,05-14-2021
Kiryat Gat,31.61,34.7642,80.01,50,0,1.99,IL,05-14-2021
Torbay,47.6666,-52.7314,51.01,66,75,10.36,CA,05-14-2021
Tasiilaq,65.6145,-37.6368,32.0,74,1,6.91,GL,05-14-2021
Châteauroux,46.8167,1.7,53.6,82,75,12.66,FR,05-14-2021
Lahad Datu,5.0268,118.327,78.04,90,98,2.42,MY,05-14-2021
Brae,60.3964,-1.353,48.2,71,75,16.11,GB,05-14-2021
Alofi,-19.0595,-169.9187,75.2,94,100,2.3,NU,05-14-2021
Vestmannaeyjar,63.4427,-20.2734,42.8,70,20,24.16,IS,05-14-2021
Saint-Philippe,-21.3585,55.7679,77.0,73,0,19.57,RE,05-14-2021
Mackenzie,55.2999,-123.1698,37.4,87,1,2.3,CA,05-14-2021
Tazovsky,67.4667,78.7,30.31,97,99,8.72,RU,05-14-2021
Hasaki,35.7333,140.8333,64.4,94,0,2.3,JP,05-14-2021
Port Elizabeth,-33.918,25.5701,75.2,57,0,3.44,ZA,05-14-2021
Ulladulla,-35.35,150.4667,53.6,54,2,13.8,AU,05-14-2021
Severo-Kuril'sk,50.6789,156.125,37.0,68,0,5.44,RU,05-14-2021
Arlit,18.7369,7.3853,109.76,6,23,5.23,NE,05-14-2021
Ancud,-41.8697,-73.8203,54.0,100,90,10.36,CL,05-14-2021
Casalpusterlengo,45.1769,9.6491,59.0,100,40,11.5,IT,05-14-2021
Nelson Bay,-32.7167,152.15,53.01,76,54,8.05,AU,05-14-2021
Road Town,18.4167,-64.6167,82.99,78,40,11.5,VG,05-14-2021
Port Hardy,50.6996,-127.4199,48.2,87,90,3.44,CA,05-14-2021
Vaini,-21.2,-175.2,71.6,88,20,4.61,TO,05-14-2021
Monrovia,6.3005,-10.7969,86.0,79,75,11.5,LR,05-14-2021
Sobolevo,54.4299,31.8996,64.53,73,29,9.22,RU,05-14-2021
Yeppoon,-23.1333,150.7333,55.4,67,0,5.21,AU,05-14-2021
Wilmington,34.2257,-77.9447,70.0,37,0,3.0,US,05-14-2021
Thompson,55.7435,-97.8558,30.2,74,75,13.8,CA,05-14-2021
São José da Coroa Grande,-8.8978,-35.1478,80.28,81,100,12.5,BR,05-14-2021
Arkhipo-Osipovka,44.37,38.52,69.62,62,63,3.85,RU,05-14-2021
Chapais,49.7834,-74.8492,51.8,35,1,5.75,CA,05-14-2021
Longyearbyen,78.2186,15.6401,28.4,64,75,16.11,SJ,05-14-2021
Arraial do Cabo,-22.9661,-42.0278,73.4,68,40,5.75,BR,05-14-2021
‘Ewa Beach,21.3156,-158.0072,73.4,83,1,5.75,US,05-14-2021
Flin Flon,54.7682,-101.865,44.6,61,75,8.05,CA,05-14-2021
Touros,-5.1989,-35.4608,77.0,88,75,8.05,BR,05-14-2021
Kruisfontein,-34.0033,24.7314,87.01,25,6,4.0,ZA,05-14-2021
Tyubuk,56.0552,60.9405,75.2,37,3,6.22,RU,05-14-2021
Nanortalik,60.1432,-45.2371,41.4,61,100,5.26,GL,05-14-2021
George Town,5.4112,100.3354,86.0,84,40,4.61,MY,05-14-2021
Cap Malheureux,-19.9842,57.6142,77.0,69,1,8.01,MU,05-14-2021
Grand-Lahou,5.1367,-5.0242,86.61,65,30,8.99,CI,05-14-2021
Māngrol,21.1167,70.1167,83.55,79,89,12.68,IN,05-14-2021
Río Gallegos,-51.6226,-69.2181,48.2,87,20,17.27,AR,05-14-2021
Tiffin,41.1145,-83.178,64.0,42,31,5.26,US,05-14-2021
Souillac,-20.5167,57.5167,77.0,73,75,11.5,MU,05-14-2021
Luján,-34.5703,-59.105,62.01,66,28,1.01,AR,05-14-2021
Tuktoyaktuk,69.4541,-133.0374,26.6,74,75,16.11,CA,05-14-2021
Quatre Cocos,-20.2078,57.7625,77.0,73,75,11.5,MU,05-14-2021
Shubarkuduk,49.1447,56.4872,77.22,32,0,1.9,KZ,05-14-2021
Zhuhai,22.2769,113.5678,84.2,84,40,11.5,CN,05-14-2021
Richards Bay,-28.783,32.0377,71.02,68,0,7.27,ZA,05-14-2021
Ventspils,57.3894,21.5606,59.0,77,75,8.05,LV,05-14-2021
Norman Wells,65.282,-126.8329,41.0,65,75,14.97,CA,05-14-2021
Comodoro Rivadavia,-45.8667,-67.5,50.0,62,0,3.44,AR,05-14-2021
Whyalla,-33.0333,137.5833,53.6,82,87,8.05,AU,05-14-2021
Udachny,66.4167,112.4,38.5,89,100,3.11,RU,05-14-2021
Oistins,13.0667,-59.5333,86.0,54,75,20.71,BB,05-14-2021
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,62.01,76,0,1.99,AR,05-14-2021
Dingle,10.9995,122.6711,78.26,88,99,5.86,PH,05-14-2021
Kiruna,67.8557,20.2251,32.0,86,90,10.36,SE,05-14-2021
Iqaluit,63.7506,-68.5145,28.4,74,75,4.61,CA,05-14-2021
Fortuna,40.5982,-124.1573,48.99,100,90,9.22,US,05-14-2021
Nouadhibou,20.931,-17.0347,75.2,57,9,21.85,MR,05-14-2021
Klaksvík,62.2266,-6.589,44.6,61,75,6.91,FO,05-14-2021
Sena Madureira,-9.0656,-68.6569,83.93,57,93,3.44,BR,05-14-2021
San Patricio,28.017,-97.5169,77.0,78,1,4.61,US,05-14-2021
Inírida,3.8653,-67.9239,80.94,84,87,2.42,CO,05-14-2021
Mayo,38.8876,-76.5119,70.0,39,1,3.44,US,05-14-2021
Avarua,-21.2078,-159.775,69.8,100,11,1.14,CK,05-14-2021
Rudnogorsk,57.2639,103.7519,43.12,52,81,5.1,RU,05-14-2021
Dalvik,65.9702,-18.5286,44.6,36,40,10.36,IS,05-14-2021
Olovyannaya,50.95,115.5667,45.21,65,93,11.3,RU,05-14-2021
Grindavik,63.8424,-22.4338,42.8,70,75,4.61,IS,05-14-2021
Manaquiri,-3.3167,-60.35,84.2,74,75,5.75,BR,05-14-2021
Santa Cruz de la Sierra,-17.8,-63.1667,70.3,58,99,2.39,BO,05-14-2021
Palmas de Monte Alto,-14.2672,-43.1619,85.82,33,5,8.3,BR,05-14-2021
Yaan,7.3833,8.5667,90.27,50,46,5.37,NG,05-14-2021
Andenes,69.3143,16.1194,44.6,70,0,20.71,NO,05-14-2021
Sakaiminato,35.55,133.2333,62.6,94,75,6.91,JP,05-14-2021
Ust'-Ilimsk,58.0006,102.6619,48.92,40,46,10.29,RU,05-14-2021
Faya,18.3851,42.4509,71.6,49,75,14.97,SA,05-14-2021
Castro,-24.7911,-50.0119,61.45,66,97,7.65,BR,05-14-2021
Bārmer,25.75,71.3833,94.95,22,27,16.96,IN,05-14-2021
Arrondissement de Foix,42.8333,1.5833,62.01,9,52,8.77,FR,05-14-2021
Codrington,-38.2667,141.9667,51.46,67,98,29.06,AU,05-14-2021
Maniitsoq,65.4167,-52.9,36.25,69,100,5.79,GL,05-14-2021
Camacha,33.0833,-16.3333,69.8,64,20,17.27,PT,05-14-2021
Anshun,26.25,105.9333,69.75,75,1,17.76,CN,05-14-2021
Tianpeng,30.9866,103.9393,79.0,78,88,4.47,CN,05-14-2021
Cervo,43.6702,-7.4101,62.01,70,100,5.99,ES,05-14-2021
Qaryat Sulūq,31.6682,20.2521,88.47,16,9,13.98,LY,05-14-2021
Kahului,20.8947,-156.47,71.6,78,1,11.5,US,05-14-2021
Soyo,-6.1349,12.3689,83.08,74,75,9.37,AO,05-14-2021
Raja,8.4596,25.678,88.97,45,80,6.11,SS,05-14-2021
Jalingo,8.8833,11.3667,96.76,37,46,3.98,NG,05-14-2021
Huntly,57.4474,-2.7861,50.0,84,92,10.0,GB,05-14-2021
Bengkulu,-3.8004,102.2655,77.49,89,99,3.69,ID,05-14-2021
San Quintín,30.4833,-115.95,60.53,74,98,8.12,MX,05-14-2021
Bend,44.0582,-121.3153,57.99,47,1,5.75,US,05-14-2021
Los Llanos de Aridane,28.6585,-17.9182,73.4,64,20,18.41,ES,05-14-2021
Paraná,-31.732,-60.5238,66.99,56,3,1.99,AR,05-14-2021
Salamanca,40.8333,-6.0,66.99,37,0,10.36,ES,05-14-2021
Sosnogorsk,63.6023,53.8817,66.88,69,95,2.04,RU,05-14-2021
Port Macquarie,-31.4333,152.9167,50.0,84,100,8.63,AU,05-14-2021
Daru,-9.0763,143.2092,79.07,88,97,11.81,PG,05-14-2021
Qaqortoq,60.7167,-46.0333,51.8,20,20,16.11,GL,05-14-2021
Tataouine,32.9297,10.4518,93.2,10,0,5.75,TN,05-14-2021
Esperance,-33.8667,121.9,53.6,87,99,6.91,AU,05-14-2021
Roald,62.5833,6.1333,55.0,81,40,16.11,NO,05-14-2021
High Level,58.5169,-117.136,42.8,81,75,8.05,CA,05-14-2021
Lorengau,-2.0226,147.2712,82.54,81,22,8.79,PG,05-14-2021
Sitka,57.0531,-135.33,46.4,81,90,9.22,US,05-14-2021
Cuamba,-14.8031,36.5372,73.02,59,86,3.02,MZ,05-14-2021
São Filipe,14.8961,-24.4956,78.82,59,73,7.2,CV,05-14-2021
Liverpool,53.4106,-2.9779,60.8,67,40,5.75,GB,05-14-2021
Valparaíso,-33.0393,-71.6273,55.99,100,100,5.75,CL,05-14-2021
Archidona,37.0965,-4.3887,84.2,24,0,17.27,ES,05-14-2021
Hong Kong,22.2855,114.1577,86.0,78,9,1.01,HK,05-14-2021
Dunedin,-45.8742,170.5036,53.01,54,100,11.99,NZ,05-14-2021
Paita,-5.0892,-81.1144,73.4,68,20,12.66,PE,05-14-2021
Broken Hill,-31.95,141.4333,51.8,66,68,8.05,AU,05-14-2021
Arroyo de la Encomienda,41.6096,-4.7969,66.99,45,0,10.36,ES,05-14-2021
Chui,-33.6971,-53.4616,62.49,47,100,3.0,UY,05-14-2021
Palmer,42.1584,-72.3287,72.0,34,20,6.29,US,05-14-2021
Kumphawapi,17.1087,103.0149,87.8,62,0,6.91,TH,05-14-2021
Niono,14.2526,-5.993,109.45,5,8,13.04,ML,05-14-2021
Muros,42.7762,-9.0603,60.01,75,100,11.99,ES,05-14-2021
Spearfish,44.4908,-103.8594,53.01,82,1,3.89,US,05-14-2021
Krasnyy Kut,50.95,46.9667,81.27,43,12,8.19,RU,05-14-2021
Innisfail,-17.5333,146.0333,69.67,91,81,4.32,AU,05-14-2021
Yavoriv,49.9386,23.3825,62.6,55,40,11.18,UA,05-14-2021
Port Lincoln,-34.7333,135.8667,57.51,65,86,12.44,AU,05-14-2021
Poum,-20.2333,164.0167,78.03,78,10,17.0,NC,05-14-2021
Heilbron,-27.2812,27.9709,65.98,17,0,5.08,ZA,05-14-2021
Görele,41.0308,39.0031,66.2,72,0,6.91,TR,05-14-2021
Vila do Maio,15.1333,-23.2167,87.8,33,0,23.02,CV,05-14-2021
Yei,4.095,30.6779,73.74,84,100,1.7,SS,05-14-2021
Killybegs,54.6333,-8.45,57.0,54,20,6.91,IE,05-14-2021
Padang,-0.9492,100.3543,79.41,87,85,2.57,ID,05-14-2021
Portland,45.5234,-122.6762,57.0,71,75,4.61,US,05-14-2021
Zehdenick,52.9785,13.3317,51.01,89,100,11.21,DE,05-14-2021
Malanje,-9.5402,16.341,76.84,55,6,3.58,AO,05-14-2021
Port Angeles,48.1181,-123.4307,53.01,100,90,8.05,US,05-14-2021
Vila Franca do Campo,37.7167,-25.4333,68.0,88,75,16.11,PT,05-14-2021
Aktau,43.65,51.2,82.4,13,0,11.18,KZ,05-14-2021
Piteå,65.3172,21.4794,50.0,62,0,14.97,SE,05-14-2021
Paamiut,61.994,-49.6678,39.07,52,100,7.34,GL,05-14-2021
Bajil,15.0584,43.2851,95.22,41,24,15.88,YE,05-14-2021
Benguela,-12.5763,13.4055,84.78,60,10,8.43,AO,05-14-2021
Hauge i Dalane,58.3436,6.2812,55.99,98,100,4.03,NO,05-14-2021
Shache,38.4167,77.2406,65.07,31,17,7.43,CN,05-14-2021
Rocha,-34.4833,-54.3333,62.42,54,100,3.71,UY,05-14-2021
Abilene,32.4487,-99.7331,66.0,77,1,9.22,US,05-14-2021
Tura,25.5198,90.2201,71.62,84,37,3.87,IN,05-14-2021
Japura,-0.3167,102.35,75.96,96,100,1.3,ID,05-14-2021
Carutapera,-1.195,-46.02,82.04,82,81,2.73,BR,05-14-2021
Santa Catarina de Tepehuanes,25.35,-105.7333,65.05,65,100,3.13,MX,05-14-2021
Manoel Urbano,-8.8389,-69.2597,84.31,56,97,3.51,BR,05-14-2021
Kavaratti,10.5669,72.642,81.52,89,100,45.95,IN,05-14-2021
Saskylakh,71.9167,114.0833,29.79,97,100,10.2,RU,05-14-2021
Saint Paul Harbor,57.79,-152.4072,42.8,87,90,9.22,US,05-14-2021
Olafsvik,64.8945,-23.7142,40.57,70,46,8.05,IS,05-14-2021
Kuzhener,56.8111,48.9128,71.74,59,69,9.19,RU,05-14-2021
Kendari,-3.945,122.4989,75.47,94,99,2.53,ID,05-14-2021
Ocós,14.5094,-92.1933,82.4,83,20,5.75,GT,05-14-2021
Chāndur,19.7333,79.1833,95.59,29,100,10.69,IN,05-14-2021
Champerico,14.3,-91.9167,82.4,74,0,1.9,GT,05-14-2021
Ishigaki,24.3448,124.1572,80.74,88,54,11.61,JP,05-14-2021
Kharp,66.8014,65.8081,41.38,81,99,3.36,RU,05-14-2021
Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,40.8,95,39,3.98,RU,05-14-2021
Qui Nhon,13.7667,109.2333,82.13,87,86,7.31,VN,05-14-2021
Kangalassy,62.3464,129.9628,39.2,48,0,4.47,RU,05-14-2021
Naze,28.3667,129.4833,71.58,89,97,5.53,JP,05-14-2021
Merauke,-8.4667,140.3333,79.7,84,100,12.08,ID,05-14-2021
Carlisle,40.2015,-77.1889,64.99,31,1,1.01,US,05-14-2021
Laguna,38.421,-121.4238,55.99,83,6,4.0,US,05-14-2021
Cascais,38.6979,-9.4215,71.01,63,20,16.11,PT,05-14-2021
Requena,39.4883,-1.1004,77.0,57,11,16.28,ES,05-14-2021
São Miguel do Araguaia,-13.275,-50.1628,86.13,39,67,2.77,BR,05-14-2021
Petropavlovsk-Kamchatskiy,53.0452,158.6483,37.4,60,7,6.71,RU,05-14-2021
Batagay-Alyta,67.8006,130.4114,32.2,69,97,4.36,RU,05-14-2021
Riyadh,24.6877,46.7219,104.0,9,75,8.05,SA,05-14-2021
Edd,13.9297,41.6925,90.77,53,5,15.7,ER,05-14-2021
Thunder Bay,48.4001,-89.3168,59.0,47,40,5.75,CA,05-14-2021
Port Blair,11.6667,92.75,85.08,70,25,3.29,IN,05-14-2021
Yablonovo,50.8523,37.3574,75.2,50,0,11.18,RU,05-14-2021
Puerto Baquerizo Moreno,-0.9,-89.6,75.2,88,75,10.36,EC,05-14-2021
Sur,22.5667,59.5289,91.69,45,73,2.48,OM,05-14-2021
Meulaboh,4.1363,96.1285,76.53,93,100,5.03,ID,05-14-2021
Kemijärvi,66.7131,27.4306,49.01,76,99,10.51,FI,05-14-2021
Iwanai,42.9744,140.5089,49.24,65,9,4.41,JP,05-14-2021
Ubari,26.5921,12.7805,106.36,6,72,11.1,LY,05-14-2021
Iturama,-19.7281,-50.1956,78.28,46,95,4.29,BR,05-14-2021
Baghdad,33.3406,44.4009,105.8,11,20,10.36,IQ,05-14-2021
Chukhloma,58.7525,42.6825,68.2,55,76,2.91,RU,05-14-2021
Mathathane,-22.2687,28.7495,75.96,26,0,4.14,BW,05-14-2021
Kismayo,-0.3582,42.5454,80.17,78,91,16.44,SO,05-14-2021
The Valley,18.217,-63.0578,82.4,74,40,14.97,AI,05-14-2021
Honningsvåg,70.9821,25.9704,37.4,60,75,11.5,NO,05-14-2021
Bethel,41.3712,-73.414,68.0,37,1,3.44,US,05-14-2021
Verkhoyansk,67.5447,133.385,38.73,56,100,4.7,RU,05-14-2021
Klyuchevskiy,53.5317,119.4519,38.61,86,100,7.54,RU,05-14-2021
Gerāsh,27.6652,54.1371,98.6,13,40,11.5,IR,05-14-2021
Umba,66.6871,34.3429,44.02,74,91,16.11,RU,05-14-2021
Half Moon Bay,37.4636,-122.4286,55.0,100,90,5.75,US,05-14-2021
Bolshaya Rechka,51.9503,104.7355,48.2,25,0,8.95,RU,05-14-2021
Leningradskiy,69.3833,178.4167,19.36,91,93,3.47,RU,05-14-2021
Olinda,-8.0089,-34.8553,71.6,94,90,2.3,BR,05-14-2021
Isangel,-19.55,169.2667,76.86,89,64,7.87,VU,05-14-2021
Shimoda,34.6667,138.95,66.0,87,100,1.99,JP,05-14-2021
Port Hedland,-20.3167,118.5667,73.4,31,0,10.36,AU,05-14-2021
Laurel,39.0993,-76.8483,72.0,45,40,3.02,US,05-14-2021
Fano,43.8204,13.0121,70.0,52,100,4.0,IT,05-14-2021
Zhangjiakou,40.81,114.8794,64.94,72,100,10.76,CN,05-14-2021
Bathsheba,13.2167,-59.5167,86.0,54,75,20.71,BB,05-14-2021
Itarema,-2.9248,-39.9167,75.63,94,100,9.6,BR,05-14-2021
Anderson,34.5334,-82.6499,64.4,45,1,4.61,US,05-14-2021
Santa Maria,-29.6842,-53.8069,51.8,93,40,3.44,BR,05-14-2021
Vestmanna,62.1564,-7.1664,44.6,61,75,6.91,FO,05-14-2021
Latur,18.4,76.5833,92.26,31,100,4.94,IN,05-14-2021
Abhā,18.2164,42.5053,71.6,49,75,14.97,SA,05-14-2021
Nouakchott,18.0858,-15.9785,98.6,12,0,18.41,MR,05-14-2021
Ruyigi Province,-3.45,30.3167,63.28,93,94,2.33,BI,05-14-2021
Crestview,30.7621,-86.5705,72.0,64,1,4.61,US,05-14-2021
Buribay,51.9617,58.1592,72.68,40,0,8.08,RU,05-14-2021
East London,-33.0153,27.9116,75.2,64,0,2.3,ZA,05-14-2021
Kumul,42.8,93.45,69.66,18,100,6.93,CN,05-14-2021
Ellisras,-23.6649,27.7443,75.06,20,0,4.56,ZA,05-14-2021
Port-Gentil,-0.7193,8.7815,87.8,66,20,9.22,GA,05-14-2021
Evensk,61.95,159.2333,31.19,97,100,4.79,RU,05-14-2021
Labuhan,-6.8844,112.2051,80.04,78,50,7.2,ID,05-14-2021
Vilhena,-12.7406,-60.1458,75.2,73,0,9.22,BR,05-14-2021
Auki,-8.7676,160.7034,77.5,88,12,3.8,SB,05-14-2021
Boa Vista,2.8197,-60.6733,80.6,69,90,16.11,BR,05-14-2021
Viseu,40.661,-7.9097,66.0,67,80,4.0,PT,05-14-2021
Maragogi,-9.0122,-35.2225,80.4,81,100,12.37,BR,05-14-2021
Datong,40.0936,113.2914,62.62,64,95,15.66,CN,05-14-2021
